,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,saskylakh,99,RU,1569467805,76,71.97,114.09,35.51,7.63
1,albany,40,US,1569467666,67,42.65,-73.75,62.6,4.7
2,upernavik,100,GL,1569467805,64,72.79,-56.15,33.35,11.48
3,hilo,1,US,1569467765,62,19.71,-155.08,84.2,5.82
4,torbay,90,CA,1569467701,100,47.66,-52.73,55.0,11.41
5,mayo,90,CA,1569467806,87,63.59,-135.9,42.8,2.24
6,butaritari,0,KI,1569467806,75,3.07,172.79,83.92,15.43
7,sitka,2,US,1569467807,78,37.17,-99.65,73.0,11.01
8,boueni,75,YT,1569467807,78,-12.9,45.08,78.8,19.46
9,abha,0,SA,1569467807,39,18.22,42.5,68.0,5.82
10,wattegama,64,LK,1569467808,63,7.35,80.68,81.09,1.57
11,ossora,7,RU,1569467808,82,59.24,163.07,46.37,21.07
12,davila,40,PH,1569467808,62,18.47,120.58,89.6,11.41
13,rikitea,0,PF,1569467808,68,-23.12,-134.97,72.2,8.59
14,constitucion,90,MX,1569467808,82,23.99,-104.67,62.01,4.7
15,oussouye,20,SN,1569467809,94,12.49,-16.54,80.6,4.7
16,verkhoyansk,100,RU,1569467809,59,67.55,133.39,39.11,8.28
17,great bend,90,US,1569467809,46,38.36,-98.78,73.4,18.34
18,punta arenas,0,CL,1569467809,75,-53.16,-70.91,42.01,16.11
19,belfast,30,GB,1569467810,87,54.6,-5.93,55.4,9.17
20,atuona,33,PF,1569467810,77,-9.8,-139.03,79.33,17.13
21,sovetskiy,1,RU,1569467810,95,56.76,48.47,29.0,6.8
22,hobart,20,AU,1569467544,42,-42.88,147.33,66.0,12.75
23,ambilobe,3,MG,1569467810,83,-13.19,49.05,68.65,6.42
24,bowen,75,AU,1569467810,54,-20.01,148.25,80.6,17.22
25,normandin,90,CA,1569467811,87,48.84,-72.53,51.8,5.82
26,talara,0,PE,1569467793,93,-4.58,-81.27,62.86,11.41
27,necochea,0,AR,1569467811,80,-38.55,-58.74,50.0,4.72
28,namibe,55,AO,1569467816,87,-15.19,12.15,68.85,5.14
29,srednekolymsk,100,RU,1569467816,55,67.46,153.71,34.87,13.29
30,kodinsk,75,RU,1569467817,64,58.6,99.18,43.0,3.42
31,vaini,75,IN,1569467817,100,15.34,74.49,73.4,6.93
32,port alfred,0,ZA,1569467817,79,-33.59,26.89,50.0,4.34
33,carnarvon,0,ZA,1569467818,14,-30.97,22.13,50.53,10.56
34,new norfolk,20,AU,1569467818,42,-42.78,147.06,66.0,12.75
35,vikulovo,47,RU,1569467818,95,55.07,40.96,32.56,4.12
36,kaitangata,100,NZ,1569467818,75,-46.28,169.85,48.99,25.99
37,zhigansk,100,RU,1569467819,66,66.77,123.37,43.22,5.12
38,saint-avold,75,FR,1569467819,100,49.1,6.71,59.0,9.17
39,esperance,40,AU,1569467782,68,-33.86,121.89,66.2,6.93
40,bredasdorp,0,ZA,1569467819,87,-34.53,20.04,55.0,6.93
41,kadayanallur,100,IN,1569467820,97,9.08,77.35,73.17,2.82
42,khatanga,96,RU,1569467820,96,71.98,102.47,34.65,8.7
43,bandarbeyla,0,SO,1569467820,73,9.49,50.81,73.85,13.0
44,champerico,90,MX,1569467821,88,16.38,-93.6,77.0,2.42
45,barrow,0,AR,1569467821,75,-38.31,-60.23,54.27,3.71
46,tuktoyaktuk,90,CA,1569467821,86,69.44,-133.03,37.4,13.87
47,ushuaia,75,AR,1569467524,69,-54.81,-68.31,41.0,18.34
48,entre rios,25,BR,1569467822,98,-11.94,-38.08,66.64,4.61
49,bluff,39,AU,1569467822,39,-23.58,149.07,81.94,13.09
50,saldanha,82,PT,1569467823,80,41.42,-6.55,55.04,2.75
51,deputatskiy,55,RU,1569467824,72,69.3,139.9,24.53,5.28
52,busselton,2,AU,1569467673,69,-33.64,115.35,64.99,3.0
53,kavieng,95,PG,1569467824,73,-2.57,150.8,82.64,6.29
54,nyrob,100,RU,1569467824,96,60.74,56.73,32.89,10.96
55,avarua,70,CK,1569467824,83,-21.21,-159.78,77.0,10.29
56,ust-tsilma,99,RU,1569467824,94,65.44,52.15,33.5,6.62
57,mar del plata,0,AR,1569467825,60,-46.43,-67.52,49.66,11.52
58,faanui,56,PF,1569467825,79,-16.48,-151.75,79.27,14.76
59,ilulissat,6,GL,1569467826,86,69.22,-51.1,30.2,9.06
60,mocorito,0,MX,1569467826,81,25.48,-107.92,82.0,1.99
61,prainha,42,BR,1569467827,93,-1.8,-53.48,73.64,2.17
62,laguna,40,BZ,1569467828,74,16.17,-88.94,82.4,0.6
63,saint-philippe,90,CA,1569467675,82,45.36,-73.48,64.4,12.75
64,kodiak,90,US,1569467828,55,39.95,-94.76,66.99,8.05
65,pec,75,DE,1569467828,100,49.4,12.83,55.0,3.36
66,rongcheng,42,CN,1569467828,37,37.16,122.42,79.0,4.23
67,kamenka,100,MD,1569467828,92,48.03,28.7,55.0,8.01
68,kiama,40,AU,1569467711,63,-34.67,150.86,66.0,12.75
69,radovitskiy,15,RU,1569467829,97,55.13,39.8,32.62,3.85
70,oil city,90,US,1569467689,68,41.43,-79.71,66.99,5.82
71,tuatapere,100,NZ,1569467829,88,-46.13,167.69,50.0,21.0
72,kargasok,90,RU,1569467829,86,59.06,80.87,36.56,11.18
73,dingle,5,PH,1569467830,73,11.0,122.67,85.52,7.47
74,isangel,75,VU,1569467830,54,-19.55,169.27,78.8,13.87
75,lorengau,51,PG,1569467830,78,-2.02,147.27,82.76,7.09
76,price,1,US,1569467830,19,39.6,-110.81,71.6,14.99
77,geraldton,40,CA,1569467831,100,49.72,-86.95,46.4,8.05
78,taitung,20,TW,1569467831,54,22.76,121.15,84.2,5.82
79,longyearbyen,75,NO,1569467726,93,78.22,15.63,35.6,10.29
80,puerto ayora,97,EC,1569467831,95,-0.74,-90.35,66.99,5.99
81,sao joao da barra,100,BR,1569467833,93,-21.64,-41.05,65.66,3.27
82,salalah,20,OM,1569467833,83,17.01,54.1,80.6,4.7
83,cooma,37,AU,1569467833,43,-36.24,149.13,55.4,5.82
84,jamestown,0,AU,1569467641,25,-33.21,138.6,72.99,11.97
85,sorland,70,NO,1569467835,87,67.67,12.69,51.89,15.48
86,cherskiy,0,RU,1569467835,48,68.75,161.3,37.37,4.47
87,mataura,100,NZ,1569467744,88,-46.19,168.86,50.0,21.0
88,omboue,100,GA,1569467835,84,-1.57,9.26,77.26,10.29
89,cururupu,23,BR,1569467835,91,-1.82,-44.87,73.96,3.0
90,kapaa,75,US,1569467743,94,22.08,-159.32,84.2,10.29
91,bethel,40,US,1569467836,61,60.79,-161.76,46.4,13.87
92,kruisfontein,0,ZA,1569467836,34,-34.0,24.73,54.47,9.28
93,morros,20,BR,1569467836,78,-2.87,-44.04,80.6,9.17
94,lazaro cardenas,40,MX,1569467836,60,28.39,-105.62,75.2,5.82
